account_key,account_id,customer_key,account_type,account_status,currency,branch_region,opening_period,synthetic_data_flag
33534841193262571,ACC-0000001,1101053381991883786,Business,Active,GBP,Manchester,2024-09,True
920606795177886553,ACC-0000002,606728138176973669,Business,Active,USD,Digital,2024-04,True
591653940470532005,ACC-0000003,264419407905059310,Current,Active,SGD,London,2024-04,True
129325058848218403,ACC-0000004,264419407905059310,Savings,Active,SGD,Wales,2023-04,True
448078394640568799,ACC-0000005,263756791415439406,Business,Active,EUR,Wales,2025-09,True
1076444576844183813,ACC-0000006,263756791415439406,Business,Active,EUR,Scotland,2023-02,True
785071877156179956,ACC-0000007,246169167661273933,Savings,Active,GBP,Wales,2025-12,True
819848316468411696,ACC-0000008,246169167661273933,Savings,Active,GBP,Digital,2024-12,True
328266765632365194,ACC-0000009,768436434945698388,Credit,Active,AED,Wales,2023-02,True
914137268872445635,ACC-0000010,886539501005936162,Savings,Active,USD,Manchester,2023-04,True
291176389937850411,ACC-0000011,320081434803039496,Business,Active,EUR,Scotland,2024-05,True
1020425277499253146,ACC-0000012,442163723921078728,Savings,Active,SGD,Wales,2023-01,True
26141885635181124,ACC-0000013,2998887372558569,Business,Active,AED,Birmingham,2025-02,True
664561399193858278,ACC-0000014,2998887372558569,Business,Active,AED,Digital,2024-10,True
635830200991750991,ACC-0000015,2998887372558569,Savings,Active,AED,Scotland,2025-03,True
774026541341635137,ACC-0000016,45517484512241406,Business,Active,EUR,Scotland,2025-06,True
1046072633753250531,ACC-0000017,246700825511871154,Savings,Active,CAD,Scotland,2025-11,True
299383214210362908,ACC-0000018,246700825511871154,Current,Active,CAD,Manchester,2025-02,True
282855767036083778,ACC-0000019,281401213724354662,Current,Active,USD,Manchester,2024-12,True
491741179394764822,ACC-0000020,594906817873445698,Credit,Active,SGD,Scotland,2024-12,True
399259727322062660,ACC-0000021,594906817873445698,Current,Active,SGD,Wales,2025-07,True
89873093933681704,ACC-0000022,249615748465308303,Savings,Active,SGD,Digital,2025-09,True
709320434956483274,ACC-0000023,249615748465308303,Current,Active,SGD,London,2025-03,True
898876343983523175,ACC-0000024,957110910028490585,Savings,Active,SGD,London,2020-09,True
502571709308802329,ACC-0000025,710233541031274161,Business,Active,EUR,Manchester,2021-08,True
283044478267005219,ACC-0000026,1053835074633009439,Current,Dormant,CAD,London,2025-10,True
140306784392954168,ACC-0000027,1053835074633009439,Current,Active,CAD,Scotland,2025-11,True
204027528353931223,ACC-0000028,1053835074633009439,Savings,Active,CAD,Digital,2025-10,True
56906685155519018,ACC-0000029,1148133427243247577,Credit,Active,EUR,London,2025-04,True
416396750602658419,ACC-0000030,981860125137779078,Credit,Active,AED,Birmingham,2024-09,True
703926784724708881,ACC-0000031,163870747016877544,Credit,Active,EUR,Scotland,2019-08,True
294728521380376385,ACC-0000032,163870747016877544,Business,Active,EUR,Scotland,2023-07,True
880793152861886776,ACC-0000033,163870747016877544,Business,Active,EUR,Digital,2021-06,True
728329029225822548,ACC-0000034,577222200404687494,Business,Active,EUR,Digital,2024-04,True
268709885183039317,ACC-0000035,577222200404687494,Credit,Active,EUR,London,2022-09,True
556754018207959739,ACC-0000036,577222200404687494,Business,Active,EUR,Wales,2021-10,True
805577052169926856,ACC-0000037,440725821471311782,Business,Active,GBP,Birmingham,2023-09,True
1072486410339210730,ACC-0000038,440725821471311782,Business,Active,GBP,Birmingham,2022-12,True
115963248582034977,ACC-0000039,440725821471311782,Credit,Active,GBP,Birmingham,2025-02,True
27449519526762105,ACC-0000040,1088879620853116969,Savings,Active,SGD,Scotland,2023-09,True
175221994541080028,ACC-0000041,667854202544287746,Savings,Active,EUR,Scotland,2025-03,True
802863084749059983,ACC-0000042,667854202544287746,Current,Active,EUR,Scotland,2020-11,True
413362969442318391,ACC-0000043,667854202544287746,Credit,Active,EUR,Wales,2024-01,True
1091962901370175927,ACC-0000044,493050207069902821,Credit,Active,GBP,Birmingham,2025-01,True
1098913267084684975,ACC-0000045,493050207069902821,Credit,Active,GBP,Manchester,2024-05,True
619354696592362267,ACC-0000046,180653586061245535,Savings,Active,CAD,Scotland,2025-01,True
327762106403040009,ACC-0000047,291382675383148796,Credit,Active,GBP,Birmingham,2020-01,True
1127483755307710558,ACC-0000048,291382675383148796,Credit,Active,GBP,Digital,2020-11,True
1012921857189988110,ACC-0000049,291382675383148796,Savings,Active,GBP,London,2021-12,True
336914398837009205,ACC-0000050,585875122027006935,Savings,Active,EUR,Scotland,2025-08,True
421715877431941418,ACC-0000051,585875122027006935,Current,Active,EUR,Scotland,2024-11,True
594731420111221369,ACC-0000052,186499808372984441,Savings,Active,SGD,Scotland,2020-12,True
314853006901798701,ACC-0000053,186499808372984441,Current,Active,SGD,Wales,2022-12,True
1088693605223291994,ACC-0000054,767710371338206292,Savings,Dormant,CAD,London,2025-10,True
620383073374211171,ACC-0000055,618061539991327460,Business,Active,EUR,Wales,2024-02,True
617344485966355395,ACC-0000056,529721350152239818,Business,Active,EUR,Birmingham,2025-10,True
537850137466197608,ACC-0000057,529721350152239818,Business,Active,EUR,London,2025-08,True
71440738756614073,ACC-0000058,529721350152239818,Current,Active,EUR,Manchester,2025-12,True
520910676214269524,ACC-0000059,1054376342709458876,Current,Active,EUR,Wales,2025-01,True
24021971752718965,ACC-0000060,1054376342709458876,Savings,Active,EUR,Digital,2024-10,True
1132562117222242589,ACC-0000061,1054376342709458876,Business,Active,EUR,Birmingham,2025-03,True
1098372136870786438,ACC-0000062,646455403059666207,Business,Active,EUR,Birmingham,2025-03,True
724925587092794499,ACC-0000063,646455403059666207,Savings,Active,EUR,Manchester,2025-09,True
457469734952547010,ACC-0000064,646455403059666207,Credit,Active,EUR,Manchester,2025-04,True
459063884452939337,ACC-0000065,980708627717825274,Credit,Active,EUR,Digital,2025-06,True
1051623831929656992,ACC-0000066,980708627717825274,Business,Active,EUR,Scotland,2024-12,True
892013199572215002,ACC-0000067,980708627717825274,Current,Active,EUR,Scotland,2025-11,True
555056382282369007,ACC-0000068,906901778771043120,Credit,Active,EUR,Digital,2019-12,True
716425263025136515,ACC-0000069,906901778771043120,Current,Active,EUR,Manchester,2022-09,True
121760919791167475,ACC-0000070,906901778771043120,Business,Active,EUR,Wales,2022-10,True
789839474327816745,ACC-0000071,576276543027611612,Business,Active,EUR,Scotland,2024-07,True
157448369293970918,ACC-0000072,576276543027611612,Credit,Active,EUR,Birmingham,2024-07,True
448512625064170538,ACC-0000073,576276543027611612,Business,Active,EUR,Scotland,2025-02,True
201381187064580955,ACC-0000074,904664493072722252,Business,Active,EUR,Birmingham,2020-12,True
14655924623425254,ACC-0000075,995546377267911770,Current,Active,EUR,Scotland,2025-02,True
577844331650941995,ACC-0000076,995546377267911770,Current,Active,EUR,Wales,2023-10,True
388201544877015446,ACC-0000077,1095817946956588938,Business,Active,EUR,Birmingham,2025-12,True
893300605340112669,ACC-0000078,1095817946956588938,Savings,Active,EUR,Digital,2025-08,True
666381739299142097,ACC-0000079,1095817946956588938,Current,Restricted,EUR,Wales,2025-06,True
564927655553618191,ACC-0000080,17508513762442371,Savings,Active,EUR,Wales,2021-10,True
868207326982718891,ACC-0000081,17508513762442371,Current,Restricted,EUR,London,2020-10,True
927022593380583622,ACC-0000082,17508513762442371,Current,Active,EUR,Scotland,2025-07,True
99333578095426031,ACC-0000083,1033318739550670801,Credit,Active,EUR,Scotland,2025-03,True
919260359890702111,ACC-0000084,1033318739550670801,Business,Active,EUR,Manchester,2025-12,True
1072854109624201303,ACC-0000085,1033318739550670801,Savings,Active,EUR,Scotland,2023-04,True
658201891893618978,ACC-0000086,137345824585252467,Credit,Active,EUR,Birmingham,2024-01,True
1002853816728893895,ACC-0000087,137345824585252467,Business,Active,EUR,Scotland,2024-06,True
876093260492180668,ACC-0000088,137345824585252467,Credit,Active,EUR,Scotland,2025-08,True
527344343098768408,ACC-0000089,1070459304141638972,Savings,Active,EUR,Scotland,2025-06,True
94675419470005165,ACC-0000090,1070459304141638972,Business,Active,EUR,Scotland,2021-10,True
808907378451499702,ACC-0000091,695484210856808634,Savings,Dormant,SGD,Manchester,2025-12,True
185941360290870519,ACC-0000092,695484210856808634,Credit,Active,SGD,Scotland,2025-11,True
253910557471322838,ACC-0000093,792492243155335315,Business,Active,USD,Scotland,2021-06,True
14373562833558410,ACC-0000094,792492243155335315,Current,Active,USD,Birmingham,2024-01,True
462022051628064999,ACC-0000095,792492243155335315,Business,Active,USD,Birmingham,2025-01,True
119324500563653138,ACC-0000096,900434523684820099,Credit,Active,EUR,London,2025-09,True
314247167000425439,ACC-0000097,900434523684820099,Current,Active,EUR,Birmingham,2024-04,True
1028075060812515097,ACC-0000098,611540535713970351,Current,Restricted,EUR,Digital,2025-11,True
326778585699112868,ACC-0000099,611540535713970351,Business,Active,EUR,London,2025-08,True
