alert_key,alert_id,transaction_key,customer_key,account_key,aml_rule_key,alert_date_key,severity,risk_points,investigation_status,reason_category,synthetic_data_flag
747839150990325120,AML-7AF3FB03DC7A80DA,357365990401441947,137345824585252467,876093260492180668,316861408653127041,20250101,medium,18,open,High-risk geography,True
707993748607230197,AML-5BC4CCF0D65CC2A3,357365990401441947,137345824585252467,876093260492180668,69515675679568663,20250101,medium,18,open,Device or session risk,True
28210449140257120,AML-F0BBDDF151EF33DE,357365990401441947,137345824585252467,876093260492180668,807211356388451501,20250101,high,32,open,"KYC, PEP, sanctions, or watchlist exposure",True
323603594702504788,AML-5E2E58BE17B8A5CE,357365990401441947,137345824585252467,876093260492180668,289051792576040010,20250101,low,10,open,Unusual merchant or channel pattern,True
301559092621045344,AML-0A73FEB0C282576E,983017195506122740,291382675383148796,1127483755307710558,69515675679568663,20250101,medium,18,open,Device or session risk,True
89728807084183883,AML-97B8297B05F92CEB,983017195506122740,291382675383148796,1127483755307710558,289051792576040010,20250101,low,10,open,Unusual merchant or channel pattern,True
1106747651131209869,AML-9F90197DC6FEFFCE,419911824625881262,667854202544287746,802863084749059983,69515675679568663,20250102,medium,18,open,Device or session risk,True
359492309200488435,AML-05A36148F1D59166,419911824625881262,667854202544287746,802863084749059983,289051792576040010,20250102,low,10,open,Unusual merchant or channel pattern,True
32558830133880940,AML-1D633791F4DE2AAB,828974304302684126,906901778771043120,555056382282369007,69515675679568663,20250103,medium,18,open,Device or session risk,True
143936701639887664,AML-23E3EE4B66D73D4F,753518229986095173,957110910028490585,898876343983523175,69515675679568663,20250103,medium,18,open,Device or session risk,True
255082115271459968,AML-95313B490898A51E,753518229986095173,957110910028490585,898876343983523175,807211356388451501,20250103,high,32,open,"KYC, PEP, sanctions, or watchlist exposure",True
337841837355943210,AML-72081CF677EEFCCB,181143188585963432,1148133427243247577,56906685155519018,316861408653127041,20250104,medium,18,open,High-risk geography,True
983006131543815874,AML-A6D0C39BEE7485AF,181143188585963432,1148133427243247577,56906685155519018,69515675679568663,20250104,medium,18,open,Device or session risk,True
65286631048127125,AML-C0DD2D2C245D3E12,329089721725201625,1033318739550670801,99333578095426031,69515675679568663,20250104,medium,18,open,Device or session risk,True
1099478763676920509,AML-A026DCE0B4CF9B3F,329089721725201625,1033318739550670801,99333578095426031,289051792576040010,20250104,low,10,open,Unusual merchant or channel pattern,True
35357737342025543,AML-971FE975620DCF22,136467651277346571,886539501005936162,914137268872445635,69515675679568663,20250104,medium,18,open,Device or session risk,True
931718326869148796,AML-69567F44C7B48E91,790818574539161890,264419407905059310,591653940470532005,69515675679568663,20250105,medium,18,open,Device or session risk,True
1061500628214946881,AML-ABB46F5AF9B9CF45,790818574539161890,264419407905059310,591653940470532005,289051792576040010,20250105,low,10,open,Unusual merchant or channel pattern,True
730706017703109107,AML-A0EEF4AE0F65011A,596812638986055037,576276543027611612,448512625064170538,316861408653127041,20250106,medium,18,open,High-risk geography,True
125782674323774257,AML-F22BAE8820FB9CCD,596812638986055037,576276543027611612,448512625064170538,69515675679568663,20250106,medium,18,open,Device or session risk,True
828813383063692398,AML-2967496624FD9E57,624508768900931867,886539501005936162,914137268872445635,316861408653127041,20250106,medium,18,open,High-risk geography,True
460674312506192939,AML-157FF001EB4225CC,624508768900931867,886539501005936162,914137268872445635,69515675679568663,20250106,medium,18,open,Device or session risk,True
752720440033565610,AML-3455BA944DBA4C64,624508768900931867,886539501005936162,914137268872445635,289051792576040010,20250106,low,10,open,Unusual merchant or channel pattern,True
207550508701465348,AML-9D629C41AE88724D,487813360738787192,576276543027611612,789839474327816745,316861408653127041,20250106,medium,18,open,High-risk geography,True
118705931136530398,AML-721E6AC25292C834,487813360738787192,576276543027611612,789839474327816745,69515675679568663,20250106,medium,18,open,Device or session risk,True
267671577011519050,AML-F2B7778AF87976BB,250024722892354328,900434523684820099,314247167000425439,69515675679568663,20250106,medium,18,open,Device or session risk,True
922127847750599164,AML-C4CF6607F5B0798F,250024722892354328,900434523684820099,314247167000425439,807211356388451501,20250106,high,32,open,"KYC, PEP, sanctions, or watchlist exposure",True
137510100776096121,AML-C80E56CE9FF29CCD,250024722892354328,900434523684820099,314247167000425439,289051792576040010,20250106,low,10,open,Unusual merchant or channel pattern,True
798719603016849357,AML-F7BD544D46D6D990,637395292620773167,576276543027611612,448512625064170538,1013115407186803838,20250107,medium,20,open,Unusual cross-border activity,True
244430333117452086,AML-18323924CEF7F4A6,590549657112720222,606728138176973669,920606795177886553,69515675679568663,20250107,medium,18,open,Device or session risk,True
307404192380353462,AML-85E98C92D6269D6B,590549657112720222,606728138176973669,920606795177886553,289051792576040010,20250107,low,10,open,Unusual merchant or channel pattern,True
339712061200532731,AML-A764CE1807054432,48312891554516726,1033318739550670801,919260359890702111,69515675679568663,20250107,medium,18,open,Device or session risk,True
447440600525199239,AML-32E81CDE00CE8967,48312891554516726,1033318739550670801,919260359890702111,289051792576040010,20250107,low,10,open,Unusual merchant or channel pattern,True
990257052323692058,AML-72A6110EB5F8EC77,764557240464092861,440725821471311782,805577052169926856,69515675679568663,20250107,medium,18,open,Device or session risk,True
276609488398473684,AML-1F6CBA5DF8AC9554,764557240464092861,440725821471311782,805577052169926856,289051792576040010,20250107,low,10,open,Unusual merchant or channel pattern,True
52688599346404551,AML-E8E9681B11CD16E5,880549905146402279,263756791415439406,1076444576844183813,69515675679568663,20250107,medium,18,open,Device or session risk,True
948171807881718674,AML-DA36D9705124A1D9,383646555027640770,246169167661273933,785071877156179956,69515675679568663,20250107,medium,18,open,Device or session risk,True
699101533421778772,AML-E2B5282E4B393F5F,383646555027640770,246169167661273933,785071877156179956,289051792576040010,20250107,low,10,open,Unusual merchant or channel pattern,True
577973434590989299,AML-F8633A400860DB26,393461788515526450,246169167661273933,819848316468411696,289051792576040010,20250107,low,10,open,Unusual merchant or channel pattern,True
963053481219811202,AML-9DE4CAA3A0644280,265597443700011177,792492243155335315,253910557471322838,69515675679568663,20250109,medium,18,open,Device or session risk,True
932763671749953733,AML-8DFC19713D08AB8C,265597443700011177,792492243155335315,253910557471322838,289051792576040010,20250109,low,10,open,Unusual merchant or channel pattern,True
1152609492797116189,AML-847401A25837BED6,367110773059018965,980708627717825274,459063884452939337,316861408653127041,20250109,medium,18,open,High-risk geography,True
165138446062014390,AML-62D40FC001492F3B,367110773059018965,980708627717825274,459063884452939337,69515675679568663,20250109,medium,18,open,Device or session risk,True
