customer_id,component_name,raw_value_summary,normalised_score,configured_weight,weighted_contribution,score_cap,reason,evidence_json
CUST-000001,aml_alert,"{""configured_severity_points"": {""critical"": 50, ""high"": 30, ""low"": 5, ""medium"": 15}, ""critical_severity_alerts"": 0.0, ""derived_raw_points"": 1121.0, ""device_session_alert_count"": 13.0, ""distinct_rules_triggered"": 4.0, ""geography_alert_count"": 13.0, ""high_severity_alerts"": 0.0, ""high_value_alert_count"": 0.0, ""kyc_watchlist_alert_count"": 0.0, ""low_severity_alerts"": 15.0, ""medium_severity_alerts"": 26.0, ""structuring_alert_count"": 0.0, ""total_aml_alerts"": 41.0, ""total_aml_risk_points"": 636.0}",22.42,0.3,6.726,5000.0,41 total AML alerts,"{""configured_severity_points"": {""critical"": 50, ""high"": 30, ""low"": 5, ""medium"": 15}, ""critical_severity_alerts"": 0.0, ""derived_raw_points"": 1121.0, ""device_session_alert_count"": 13.0, ""distinct_rules_triggered"": 4.0, ""geography_alert_count"": 13.0, ""high_severity_alerts"": 0.0, ""high_value_alert_count"": 0.0, ""kyc_watchlist_alert_count"": 0.0, ""low_severity_alerts"": 15.0, ""medium_severity_alerts"": 26.0, ""structuring_alert_count"": 0.0, ""total_aml_alerts"": 41.0, ""total_aml_risk_points"": 636.0}"
CUST-000001,device_session,"{""elevated_session_count"": 0.0, ""elevated_session_count_points"": 0.0, ""elevated_session_count_threshold"": 1.0, ""failed_authentication_count"": 0.0, ""failed_authentication_count_points"": 0.0, ""failed_authentication_count_threshold"": 1.0, ""geography_mismatch_count"": 18.0, ""geography_mismatch_count_points"": 20.0, ""geography_mismatch_count_threshold"": 5.0, ""new_device_transaction_count"": 4.0, ""new_device_transaction_count_points"": 20.0, ""new_device_transaction_count_threshold"": 4.0, ""risky_session_count"": 2.0, ""risky_session_count_points"": 16.6667, ""risky_session_count_threshold"": 3.0, ""unique_device_count"": 4.0}",56.6667,0.15,8.5,100.0,new_device_transaction_count reached 4 against 4; geography_mismatch_count reached 18 against 5,"{""elevated_session_count"": 0.0, ""elevated_session_count_points"": 0.0, ""elevated_session_count_threshold"": 1.0, ""failed_authentication_count"": 0.0, ""failed_authentication_count_points"": 0.0, ""failed_authentication_count_threshold"": 1.0, ""geography_mismatch_count"": 18.0, ""geography_mismatch_count_points"": 20.0, ""geography_mismatch_count_threshold"": 5.0, ""new_device_transaction_count"": 4.0, ""new_device_transaction_count_points"": 20.0, ""new_device_transaction_count_threshold"": 4.0, ""risky_session_count"": 2.0, ""risky_session_count_points"": 16.6667, ""risky_session_count_threshold"": 3.0, ""unique_device_count"": 4.0}"
CUST-000001,fraud_model,"{""average_fraud_probability"": 0.43368452428496695, ""fraud_probability_threshold"": 0.05, ""high_fraud_probability_threshold"": 0.7, ""high_probability_transaction_count"": 0.0, ""high_probability_transaction_ratio"": 0.0, ""maximum_fraud_probability"": 0.678999585131193, ""predicted_fraud_transaction_count"": 6.0, ""predicted_fraud_transaction_ratio"": 1.0}",56.9605,0.15,8.5441,100.0,6 transactions exceeded the model operating threshold.,"{""average_fraud_probability"": 0.43368452428496695, ""fraud_probability_threshold"": 0.05, ""high_fraud_probability_threshold"": 0.7, ""high_probability_transaction_count"": 0.0, ""high_probability_transaction_ratio"": 0.0, ""maximum_fraud_probability"": 0.678999585131193, ""predicted_fraud_transaction_count"": 6.0, ""predicted_fraud_transaction_ratio"": 1.0}"
CUST-000001,kyc,"{""aml_watchlist_flag"": 0, ""customer_risk_rating"": ""Medium"", ""customer_risk_rating_points"": 30.0, ""customer_tenure_days"": 2503.0, ""kyc_points"": 0.0, ""kyc_status"": ""Verified"", ""onboarding_recency_points"": 0.0, ""pep_flag"": false, ""pep_points"": 0.0, ""sanctions_points"": 0.0, ""sanctions_screening_status"": ""Clear"", ""watchlist_points"": 0.0}",10.0,0.2,2.0,300.0,synthetic profile rating is Medium,"{""aml_watchlist_flag"": 0, ""customer_risk_rating"": ""Medium"", ""customer_risk_rating_points"": 30.0, ""customer_tenure_days"": 2503.0, ""kyc_points"": 0.0, ""kyc_status"": ""Verified"", ""onboarding_recency_points"": 0.0, ""pep_flag"": false, ""pep_points"": 0.0, ""sanctions_points"": 0.0, ""sanctions_screening_status"": ""Clear"", ""watchlist_points"": 0.0}"
CUST-000001,transaction_behaviour,"{""cross_border_ratio"": 0.9, ""cross_border_ratio_points"": 15.0, ""cross_border_ratio_threshold"": 0.8, ""failed_transaction_ratio"": 0.1, ""failed_transaction_ratio_points"": 10.0, ""failed_transaction_ratio_threshold"": 0.1, ""maximum_transaction_amount"": 127.63, ""maximum_transaction_amount_points"": 5.1052, ""maximum_transaction_amount_threshold"": 500.0, ""maximum_transaction_velocity"": 0.0, ""maximum_transaction_velocity_points"": 0.0, ""maximum_transaction_velocity_threshold"": 2.0, ""new_device_transaction_count"": 4.0, ""new_device_transaction_count_points"": 5.0, ""new_device_transaction_count_threshold"": 4.0, ""night_transaction_ratio"": 0.4, ""night_transaction_ratio_points"": 5.0, ""night_transaction_ratio_threshold"": 0.3, ""total_transaction_amount"": 682.25, ""total_transaction_amount_points"": 2.0467, ""total_transaction_amount_threshold"": 5000.0, ""total_transaction_count"": 20.0, ""total_transaction_count_points"": 7.5, ""total_transaction_count_threshold"": 40.0, ""unique_merchant_country_count"": 13.0, ""unique_merchant_country_count_points"": 10.0, ""unique_merchant_country_count_threshold"": 10.0}",59.652,0.2,11.9304,100.0,cross_border_ratio reached 0.90 against 0.80; failed_transaction_ratio reached 0.10 against 0.10; night_transaction_ratio reached 0.40 against 0.30,"{""cross_border_ratio"": 0.9, ""cross_border_ratio_points"": 15.0, ""cross_border_ratio_threshold"": 0.8, ""failed_transaction_ratio"": 0.1, ""failed_transaction_ratio_points"": 10.0, ""failed_transaction_ratio_threshold"": 0.1, ""maximum_transaction_amount"": 127.63, ""maximum_transaction_amount_points"": 5.1052, ""maximum_transaction_amount_threshold"": 500.0, ""maximum_transaction_velocity"": 0.0, ""maximum_transaction_velocity_points"": 0.0, ""maximum_transaction_velocity_threshold"": 2.0, ""new_device_transaction_count"": 4.0, ""new_device_transaction_count_points"": 5.0, ""new_device_transaction_count_threshold"": 4.0, ""night_transaction_ratio"": 0.4, ""night_transaction_ratio_points"": 5.0, ""night_transaction_ratio_threshold"": 0.3, ""total_transaction_amount"": 682.25, ""total_transaction_amount_points"": 2.0467, ""total_transaction_amount_threshold"": 5000.0, ""total_transaction_count"": 20.0, ""total_transaction_count_points"": 7.5, ""total_transaction_count_threshold"": 40.0, ""unique_merchant_country_count"": 13.0, ""unique_merchant_country_count_points"": 10.0, ""unique_merchant_country_count_threshold"": 10.0}"
CUST-000002,aml_alert,"{""configured_severity_points"": {""critical"": 50, ""high"": 30, ""low"": 5, ""medium"": 15}, ""critical_severity_alerts"": 0.0, ""derived_raw_points"": 609.0, ""device_session_alert_count"": 10.0, ""distinct_rules_triggered"": 4.0, ""geography_alert_count"": 5.0, ""high_severity_alerts"": 0.0, ""high_value_alert_count"": 0.0, ""kyc_watchlist_alert_count"": 0.0, ""low_severity_alerts"": 6.0, ""medium_severity_alerts"": 15.0, ""structuring_alert_count"": 0.0, ""total_aml_alerts"": 21.0, ""total_aml_risk_points"": 334.0}",12.18,0.3,3.654,5000.0,21 total AML alerts,"{""configured_severity_points"": {""critical"": 50, ""high"": 30, ""low"": 5, ""medium"": 15}, ""critical_severity_alerts"": 0.0, ""derived_raw_points"": 609.0, ""device_session_alert_count"": 10.0, ""distinct_rules_triggered"": 4.0, ""geography_alert_count"": 5.0, ""high_severity_alerts"": 0.0, ""high_value_alert_count"": 0.0, ""kyc_watchlist_alert_count"": 0.0, ""low_severity_alerts"": 6.0, ""medium_severity_alerts"": 15.0, ""structuring_alert_count"": 0.0, ""total_aml_alerts"": 21.0, ""total_aml_risk_points"": 334.0}"
CUST-000002,device_session,"{""elevated_session_count"": 0.0, ""elevated_session_count_points"": 0.0, ""elevated_session_count_threshold"": 1.0, ""failed_authentication_count"": 0.0, ""failed_authentication_count_points"": 0.0, ""failed_authentication_count_threshold"": 1.0, ""geography_mismatch_count"": 9.0, ""geography_mismatch_count_points"": 20.0, ""geography_mismatch_count_threshold"": 5.0, ""new_device_transaction_count"": 3.0, ""new_device_transaction_count_points"": 15.0, ""new_device_transaction_count_threshold"": 4.0, ""risky_session_count"": 2.0, ""risky_session_count_points"": 16.6667, ""risky_session_count_threshold"": 3.0, ""unique_device_count"": 3.0}",51.6667,0.15,7.75,100.0,geography_mismatch_count reached 9 against 5,"{""elevated_session_count"": 0.0, ""elevated_session_count_points"": 0.0, ""elevated_session_count_threshold"": 1.0, ""failed_authentication_count"": 0.0, ""failed_authentication_count_points"": 0.0, ""failed_authentication_count_threshold"": 1.0, ""geography_mismatch_count"": 9.0, ""geography_mismatch_count_points"": 20.0, ""geography_mismatch_count_threshold"": 5.0, ""new_device_transaction_count"": 3.0, ""new_device_transaction_count_points"": 15.0, ""new_device_transaction_count_threshold"": 4.0, ""risky_session_count"": 2.0, ""risky_session_count_points"": 16.6667, ""risky_session_count_threshold"": 3.0, ""unique_device_count"": 3.0}"
CUST-000002,fraud_model,"{""average_fraud_probability"": 0.7001654124702633, ""fraud_probability_threshold"": 0.05, ""high_fraud_probability_threshold"": 0.7, ""high_probability_transaction_count"": 2.0, ""high_probability_transaction_ratio"": 0.6666666666666666, ""maximum_fraud_probability"": 0.8454437127329656, ""predicted_fraud_transaction_count"": 3.0, ""predicted_fraud_transaction_ratio"": 1.0}",79.9438,0.15,11.9916,100.0,Maximum model probability 0.845 exceeded 0.700.,"{""average_fraud_probability"": 0.7001654124702633, ""fraud_probability_threshold"": 0.05, ""high_fraud_probability_threshold"": 0.7, ""high_probability_transaction_count"": 2.0, ""high_probability_transaction_ratio"": 0.6666666666666666, ""maximum_fraud_probability"": 0.8454437127329656, ""predicted_fraud_transaction_count"": 3.0, ""predicted_fraud_transaction_ratio"": 1.0}"
CUST-000002,kyc,"{""aml_watchlist_flag"": 0, ""customer_risk_rating"": ""Low"", ""customer_risk_rating_points"": 0.0, ""customer_tenure_days"": 853.0, ""kyc_points"": 0.0, ""kyc_status"": ""Verified"", ""onboarding_recency_points"": 0.0, ""pep_flag"": false, ""pep_points"": 0.0, ""sanctions_points"": 0.0, ""sanctions_screening_status"": ""Clear"", ""watchlist_points"": 0.0}",0.0,0.2,0.0,300.0,No elevated KYC indicators observed.,"{""aml_watchlist_flag"": 0, ""customer_risk_rating"": ""Low"", ""customer_risk_rating_points"": 0.0, ""customer_tenure_days"": 853.0, ""kyc_points"": 0.0, ""kyc_status"": ""Verified"", ""onboarding_recency_points"": 0.0, ""pep_flag"": false, ""pep_points"": 0.0, ""sanctions_points"": 0.0, ""sanctions_screening_status"": ""Clear"", ""watchlist_points"": 0.0}"
CUST-000002,transaction_behaviour,"{""cross_border_ratio"": 0.9, ""cross_border_ratio_points"": 15.0, ""cross_border_ratio_threshold"": 0.8, ""failed_transaction_ratio"": 0.1, ""failed_transaction_ratio_points"": 10.0, ""failed_transaction_ratio_threshold"": 0.1, ""maximum_transaction_amount"": 169.82, ""maximum_transaction_amount_points"": 6.7928, ""maximum_transaction_amount_threshold"": 500.0, ""maximum_transaction_velocity"": 1.685732064582525, ""maximum_transaction_velocity_points"": 4.2143, ""maximum_transaction_velocity_threshold"": 2.0, ""new_device_transaction_count"": 3.0, ""new_device_transaction_count_points"": 3.75, ""new_device_transaction_count_threshold"": 4.0, ""night_transaction_ratio"": 0.5, ""night_transaction_ratio_points"": 5.0, ""night_transaction_ratio_threshold"": 0.3, ""total_transaction_amount"": 361.45, ""total_transaction_amount_points"": 1.0843, ""total_transaction_amount_threshold"": 5000.0, ""total_transaction_count"": 10.0, ""total_transaction_count_points"": 3.75, ""total_transaction_count_threshold"": 40.0, ""unique_merchant_country_count"": 7.0, ""unique_merchant_country_count_points"": 7.0, ""unique_merchant_country_count_threshold"": 10.0}",56.5915,0.2,11.3183,100.0,cross_border_ratio reached 0.90 against 0.80; failed_transaction_ratio reached 0.10 against 0.10; night_transaction_ratio reached 0.50 against 0.30,"{""cross_border_ratio"": 0.9, ""cross_border_ratio_points"": 15.0, ""cross_border_ratio_threshold"": 0.8, ""failed_transaction_ratio"": 0.1, ""failed_transaction_ratio_points"": 10.0, ""failed_transaction_ratio_threshold"": 0.1, ""maximum_transaction_amount"": 169.82, ""maximum_transaction_amount_points"": 6.7928, ""maximum_transaction_amount_threshold"": 500.0, ""maximum_transaction_velocity"": 1.685732064582525, ""maximum_transaction_velocity_points"": 4.2143, ""maximum_transaction_velocity_threshold"": 2.0, ""new_device_transaction_count"": 3.0, ""new_device_transaction_count_points"": 3.75, ""new_device_transaction_count_threshold"": 4.0, ""night_transaction_ratio"": 0.5, ""night_transaction_ratio_points"": 5.0, ""night_transaction_ratio_threshold"": 0.3, ""total_transaction_amount"": 361.45, ""total_transaction_amount_points"": 1.0843, ""total_transaction_amount_threshold"": 5000.0, ""total_transaction_count"": 10.0, ""total_transaction_count_points"": 3.75, ""total_transaction_count_threshold"": 40.0, ""unique_merchant_country_count"": 7.0, ""unique_merchant_country_count_points"": 7.0, ""unique_merchant_country_count_threshold"": 10.0}"
