source_feature_name,aggregate_absolute_importance,maximum_absolute_coefficient,positive_level_count,negative_level_count,transformed_feature_count,rank,interpretation
ip_country,9.5533493117099,1.727285927451466,6,7,13,1,13 transformed term(s) contribute to this source-feature association.
merchant_country,7.035501956325651,1.483780591348345,7,6,13,2,13 transformed term(s) contribute to this source-feature association.
customer_country,4.7832133611451315,1.0318000449692897,5,5,10,3,10 transformed term(s) contribute to this source-feature association.
merchant_category,2.922857299162536,0.7162181567203927,4,4,8,4,8 transformed term(s) contribute to this source-feature association.
currency,2.338201132283395,0.8000773398829057,3,3,6,5,6 transformed term(s) contribute to this source-feature association.
amount_vs_account_average,2.2957654618065293,2.2957654618065293,0,1,1,6,1 transformed term(s) contribute to this source-feature association.
channel,1.2894762377529407,0.4826102070770899,2,3,5,7,5 transformed term(s) contribute to this source-feature association.
transaction_velocity_score,1.2795999175127972,1.2795999175127972,0,1,1,8,1 transformed term(s) contribute to this source-feature association.
amount_vs_customer_average,1.0965020706724746,1.0965020706724746,1,0,1,9,1 transformed term(s) contribute to this source-feature association.
transaction_amount_customer_24h,1.0491558044270766,1.0491558044270766,0,1,1,10,1 transformed term(s) contribute to this source-feature association.
transaction_count_customer_24h,1.0217683048975263,1.0217683048975263,1,0,1,11,1 transformed term(s) contribute to this source-feature association.
is_cross_border,0.7515353784408282,0.7515353784408282,1,0,1,12,1 transformed term(s) contribute to this source-feature association.
session_risk_signal,0.719784980846681,0.3059962431822566,1,2,3,13,3 transformed term(s) contribute to this source-feature association.
transaction_type,0.6721587129654082,0.4082439674744825,2,2,4,14,4 transformed term(s) contribute to this source-feature association.
distinct_countries_customer_7d,0.6340690519244285,0.6340690519244285,1,0,1,15,1 transformed term(s) contribute to this source-feature association.
amount,0.5906537437183422,0.5906537437183422,1,0,1,16,1 transformed term(s) contribute to this source-feature association.
high_value_transaction_flag,0.5808154409400423,0.5808154409400423,0,1,1,17,1 transformed term(s) contribute to this source-feature association.
distinct_merchants_customer_7d,0.515499092671836,0.515499092671836,0,1,1,18,1 transformed term(s) contribute to this source-feature association.
transaction_amount_account_24h,0.5052575460174228,0.5052575460174228,1,0,1,19,1 transformed term(s) contribute to this source-feature association.
high_risk_channel_flag,0.4183657247533964,0.4183657247533964,1,0,1,20,1 transformed term(s) contribute to this source-feature association.
transaction_day_of_week,0.3290294804755914,0.3290294804755914,0,1,1,21,1 transformed term(s) contribute to this source-feature association.
country_mismatch_flag,0.31045779275965213,0.31045779275965213,0,1,1,22,1 transformed term(s) contribute to this source-feature association.
is_weekend,0.27161614732882716,0.27161614732882716,1,0,1,23,1 transformed term(s) contribute to this source-feature association.
cross_border_transaction_count_7d,0.25972671088819965,0.25972671088819965,0,1,1,24,1 transformed term(s) contribute to this source-feature association.
transaction_count_account_24h,0.23420466742974538,0.23420466742974538,1,0,1,25,1 transformed term(s) contribute to this source-feature association.
log_transaction_amount,0.22503195550945046,0.22503195550945046,1,0,1,26,1 transformed term(s) contribute to this source-feature association.
high_risk_merchant_category_flag,0.1707307129935313,0.1707307129935313,1,0,1,27,1 transformed term(s) contribute to this source-feature association.
new_device_flag,0.14159508684180774,0.14159508684180774,0,1,1,28,1 transformed term(s) contribute to this source-feature association.
is_night_transaction,0.13886974143469313,0.13886974143469313,1,0,1,29,1 transformed term(s) contribute to this source-feature association.
failed_transaction_count_24h,0.1347850194172416,0.1347850194172416,1,0,1,30,1 transformed term(s) contribute to this source-feature association.
high_risk_country_flag,0.05037088589907486,0.05037088589907486,0,1,1,31,1 transformed term(s) contribute to this source-feature association.
transaction_hour,0.01757974397297321,0.01757974397297321,1,0,1,32,1 transformed term(s) contribute to this source-feature association.
rapid_transaction_flag,0.009653349176197198,0.009653349176197198,1,0,1,33,1 transformed term(s) contribute to this source-feature association.
risky_session_flag,0.005094928599506254,0.005094928599506254,1,0,1,34,1 transformed term(s) contribute to this source-feature association.
