transformed_feature_name,coefficient,absolute_coefficient,direction,rank
numeric__amount_vs_account_average,-2.2957654618065293,2.2957654618065293,negative,1
categorical__ip_country_IE,1.727285927451466,1.727285927451466,positive,2
categorical__ip_country_FR,-1.648695566354127,1.648695566354127,negative,3
categorical__merchant_country_SG,-1.483780591348345,1.483780591348345,negative,4
categorical__ip_country_ES,1.4008228814242476,1.4008228814242476,positive,5
numeric__transaction_velocity_score,-1.2795999175127972,1.2795999175127972,negative,6
categorical__ip_country_ZA,-1.1178853090989653,1.1178853090989653,negative,7
numeric__amount_vs_customer_average,1.0965020706724746,1.0965020706724746,positive,8
numeric__transaction_amount_customer_24h,-1.0491558044270766,1.0491558044270766,negative,9
categorical__customer_country_DE,1.0318000449692897,1.0318000449692897,positive,10
numeric__transaction_count_customer_24h,1.0217683048975263,1.0217683048975263,positive,11
categorical__merchant_country_DE,-0.8868986291676353,0.8868986291676353,negative,12
categorical__customer_country_ES,-0.8004561248080124,0.8004561248080124,negative,13
categorical__currency_CAD,-0.8000773398829057,0.8000773398829057,negative,14
categorical__customer_country_CA,-0.8000773398829057,0.8000773398829057,negative,15
categorical__merchant_country_GB,0.7894854208371119,0.7894854208371119,positive,16
categorical__merchant_country_BR,0.7802645067226328,0.7802645067226328,positive,17
numeric__is_cross_border,0.7515353784408282,0.7515353784408282,positive,18
categorical__ip_country_DE,-0.7258694470489085,0.7258694470489085,negative,19
categorical__merchant_country_CA,0.7190431711285736,0.7190431711285736,positive,20
categorical__merchant_category_Utilities,-0.7162181567203927,0.7162181567203927,negative,21
categorical__customer_country_IE,-0.6923629173964225,0.6923629173964225,negative,22
numeric__distinct_countries_customer_7d,0.6340690519244285,0.6340690519244285,positive,23
numeric__amount,0.5906537437183422,0.5906537437183422,positive,24
categorical__ip_country_TR,-0.5840805130856476,0.5840805130856476,negative,25
numeric__high_value_transaction_flag,-0.5808154409400423,0.5808154409400423,negative,26
categorical__ip_country_CA,0.5582458722571764,0.5582458722571764,positive,27
categorical__merchant_country_ZA,-0.5304473871499731,0.5304473871499731,negative,28
categorical__merchant_country_ES,0.5201441885948425,0.5201441885948425,positive,29
numeric__distinct_merchants_customer_7d,-0.515499092671836,0.515499092671836,negative,30
numeric__transaction_amount_account_24h,0.5052575460174228,0.5052575460174228,positive,31
categorical__currency_EUR,-0.49840871836576894,0.49840871836576894,negative,32
categorical__channel_POS,-0.4826102070770899,0.4826102070770899,negative,33
categorical__currency_USD,0.47382192637244763,0.47382192637244763,positive,34
categorical__customer_country_US,0.47382192637244763,0.47382192637244763,positive,35
categorical__ip_country_NL,0.47076969186933215,0.47076969186933215,positive,36
categorical__merchant_category_Electronics,-0.45688793392189514,0.45688793392189514,negative,37
categorical__merchant_category_Cash Services,0.4320538404536375,0.4320538404536375,positive,38
numeric__high_risk_channel_flag,0.4183657247533964,0.4183657247533964,positive,39
categorical__merchant_category_Money Transfer,-0.41410514627382783,0.41410514627382783,negative,40
categorical__transaction_type_Card Purchase,-0.4082439674744825,0.4082439674744825,negative,41
categorical__channel_Mobile App,0.4012943255099513,0.4012943255099513,positive,42
categorical__merchant_country_TR,-0.37539668669596343,0.37539668669596343,negative,43
categorical__channel_Branch,-0.37370210460063297,0.37370210460063297,negative,44
categorical__ip_country_SG,-0.371313444472033,0.371313444472033,negative,45
categorical__ip_country_GB,-0.37074419973120415,0.37074419973120415,negative,46
categorical__ip_country_AE,0.36124593967657176,0.36124593967657176,positive,47
categorical__currency_GBP,0.34485945365039705,0.34485945365039705,positive,48
categorical__customer_country_GB,0.34485945365039705,0.34485945365039705,positive,49
categorical__merchant_category_Travel,0.3345965551750895,0.3345965551750895,positive,50
numeric__transaction_day_of_week,-0.3290294804755914,0.3290294804755914,negative,51
numeric__country_mismatch_flag,-0.31045779275965213,0.31045779275965213,negative,52
categorical__session_risk_signal_Elevated,-0.3059962431822566,0.3059962431822566,negative,53
categorical__merchant_country_FR,0.29019338079021034,0.29019338079021034,positive,54
numeric__is_weekend,0.27161614732882716,0.27161614732882716,positive,55
categorical__session_risk_signal_Low,-0.2691669924653246,0.2691669924653246,negative,56
categorical__merchant_category_Entertainment,0.2636273960988253,0.2636273960988253,positive,57
numeric__cross_border_transaction_count_7d,-0.25972671088819965,0.25972671088819965,negative,58
categorical__merchant_country_AE,-0.25158764867482125,0.25158764867482125,negative,59
numeric__transaction_count_account_24h,0.23420466742974538,0.23420466742974538,positive,60
categorical__customer_country_NL,-0.22809579059219257,0.22809579059219257,negative,61
numeric__log_transaction_amount,0.22503195550945046,0.22503195550945046,positive,62
categorical__merchant_category_Grocery,0.2158801126294932,0.2158801126294932,positive,63
categorical__merchant_country_NL,-0.20491078035035237,0.20491078035035237,negative,64
categorical__customer_country_FR,0.19070606946158838,0.19070606946158838,positive,65
categorical__merchant_country_IE,0.18105174279507982,0.18105174279507982,positive,66
categorical__ip_country_BR,-0.17335692128831814,0.17335692128831814,negative,67
numeric__high_risk_merchant_category_flag,0.1707307129935313,0.1707307129935313,positive,68
categorical__session_risk_signal_Medium,0.14462174519909982,0.14462174519909982,positive,69
categorical__transaction_type_Direct Debit,-0.1431061342325009,0.1431061342325009,negative,70
numeric__new_device_flag,-0.14159508684180774,0.14159508684180774,negative,71
numeric__is_night_transaction,0.13886974143469313,0.13886974143469313,positive,72
categorical__currency_AED,0.13514844089459924,0.13514844089459924,positive,73
categorical__customer_country_AE,0.13514844089459924,0.13514844089459924,positive,74
numeric__failed_transaction_count_24h,0.1347850194172416,0.1347850194172416,positive,75
categorical__transaction_type_Cash Withdrawal,0.1090663857034106,0.1090663857034106,positive,76
categorical__merchant_category_Crypto Exchange,-0.08948815788937504,0.08948815788937504,negative,77
categorical__currency_SGD,-0.08588525311727667,0.08588525311727667,negative,78
