metric_name,baseline_value,current_value,absolute_change,status
accuracy,0.12021857923497267,0.1358695652173913,0.015650985982418625,healthy
actual_fraud_prevalence,0.0273224043715847,0.02717391304347826,0.00014849132810643845,healthy
average_precision,0.02242445413280381,0.03973997543015948,0.01731552129735567,warning
f1,0.05847953216374269,0.05917159763313609,0.0006920654693934047,healthy
false_negative,0.0,0.0,0.0,healthy
false_negative_rate,0.0,0.0,0.0,healthy
false_positive,161.0,159.0,2.0,healthy
false_positive_rate,0.9044943820224719,0.888268156424581,0.016226225597890886,warning
fraud_probability_mean,0.3738908730564295,0.3683560364732951,0.0055348365831343616,healthy
precision,0.030120481927710843,0.03048780487804878,0.0003673229503379366,warning
predicted_positive_rate,0.907103825136612,0.8913043478260869,0.015799477310525112,healthy
recall,1.0,1.0,0.0,healthy
roc_auc,0.30337078651685395,0.5720670391061453,0.26869625258929136,healthy
row_count,183.0,184.0,1.0,healthy
selected_threshold,0.05,0.05,0.0,healthy
true_negative,17.0,20.0,3.0,healthy
true_positive,5.0,5.0,0.0,healthy
