threshold,precision,recall,f1_score,predicted_positive_count
0.01,0.028169014084507043,1.0,0.0547945205479452,355
0.02,0.028735632183908046,1.0,0.055865921787709494,348
0.03,0.02976190476190476,1.0,0.057803468208092484,336
0.04,0.03003003003003003,1.0,0.05830903790087463,333
0.05,0.030303030303030304,1.0,0.058823529411764705,330
0.06,0.027950310559006212,0.9,0.05421686746987952,322
0.07,0.028662420382165606,0.9,0.05555555555555555,314
0.08,0.026058631921824105,0.8,0.050473186119873815,307
0.09,0.026578073089700997,0.8,0.05144694533762058,301
0.1,0.026845637583892617,0.8,0.05194805194805195,298
0.11,0.027491408934707903,0.8,0.053156146179401995,291
0.12,0.02456140350877193,0.7,0.04745762711864407,285
0.13,0.024822695035460994,0.7,0.04794520547945205,282
0.14,0.021660649819494584,0.6,0.041811846689895474,277
0.15,0.021897810218978103,0.6,0.04225352112676056,274
0.16,0.022556390977443608,0.6,0.043478260869565216,266
0.17,0.023166023166023165,0.6,0.04460966542750929,259
0.18,0.023622047244094488,0.6,0.045454545454545456,254
0.19,0.02390438247011952,0.6,0.04597701149425287,251
0.2,0.024390243902439025,0.6,0.046875,246
0.21,0.02510460251046025,0.6,0.04819277108433735,239
0.22,0.02564102564102564,0.6,0.04918032786885246,234
0.23,0.026200873362445413,0.6,0.0502092050209205,229
0.24,0.02654867256637168,0.6,0.05084745762711865,226
0.25,0.02702702702702703,0.6,0.05172413793103448,222
0.26,0.02727272727272727,0.6,0.05217391304347826,220
0.27,0.028037383177570093,0.6,0.05357142857142857,214
0.28,0.02843601895734597,0.6,0.05429864253393665,211
0.29,0.028985507246376812,0.6,0.055299539170506916,207
0.3,0.02926829268292683,0.6,0.05581395348837209,205
0.31,0.024875621890547265,0.5,0.04739336492890995,201
0.32,0.02072538860103627,0.4,0.03940886699507389,193
0.33,0.021164021164021163,0.4,0.04020100502512563,189
0.34,0.0213903743315508,0.4,0.04060913705583756,187
0.35,0.02197802197802198,0.4,0.041666666666666664,182
0.36,0.022598870056497175,0.4,0.0427807486631016,177
0.37,0.023809523809523808,0.4,0.0449438202247191,168
0.38,0.024390243902439025,0.4,0.04597701149425287,164
0.39,0.018633540372670808,0.3,0.03508771929824561,161
0.4,0.01282051282051282,0.2,0.024096385542168676,156
0.41,0.013157894736842105,0.2,0.024691358024691357,152
0.42,0.013513513513513514,0.2,0.02531645569620253,148
0.43,0.0136986301369863,0.2,0.02564102564102564,146
0.44,0.014184397163120567,0.2,0.026490066225165563,141
0.45,0.014492753623188406,0.2,0.02702702702702703,138
0.46,0.014925373134328358,0.2,0.027777777777777776,134
0.47,0.015503875968992248,0.2,0.02877697841726619,129
0.48,0.015503875968992248,0.2,0.02877697841726619,129
0.49,0.016129032258064516,0.2,0.029850746268656716,124
0.5,0.01680672268907563,0.2,0.031007751937984496,119
0.51,0.017857142857142856,0.2,0.03278688524590164,112
0.52,0.01818181818181818,0.2,0.03333333333333333,110
0.53,0.018691588785046728,0.2,0.03418803418803419,107
0.54,0.018691588785046728,0.2,0.03418803418803419,107
0.55,0.019230769230769232,0.2,0.03508771929824561,104
0.56,0.020833333333333332,0.2,0.03773584905660377,96
0.57,0.021052631578947368,0.2,0.0380952380952381,95
0.58,0.011111111111111112,0.1,0.02,90
0.59,0.011764705882352941,0.1,0.021052631578947368,85
0.6,0.0125,0.1,0.022222222222222223,80
0.61,0.012987012987012988,0.1,0.022988505747126436,77
0.62,0.013513513513513514,0.1,0.023809523809523808,74
0.63,0.013888888888888888,0.1,0.024390243902439025,72
0.64,0.014492753623188406,0.1,0.02531645569620253,69
0.65,0.014705882352941176,0.1,0.02564102564102564,68
0.66,0.015384615384615385,0.1,0.02666666666666667,65
0.67,0.01694915254237288,0.1,0.028985507246376812,59
0.68,0.01818181818181818,0.1,0.03076923076923077,55
0.69,0.0,0.0,0.0,54
0.7,0.0,0.0,0.0,49
0.71,0.0,0.0,0.0,46
0.72,0.0,0.0,0.0,43
0.73,0.0,0.0,0.0,41
0.74,0.0,0.0,0.0,40
0.75,0.0,0.0,0.0,38
0.76,0.0,0.0,0.0,35
0.77,0.0,0.0,0.0,34
0.78,0.0,0.0,0.0,30
0.79,0.0,0.0,0.0,29
0.8,0.0,0.0,0.0,28
0.81,0.0,0.0,0.0,25
0.82,0.0,0.0,0.0,21
0.83,0.0,0.0,0.0,20
0.84,0.0,0.0,0.0,17
0.85,0.0,0.0,0.0,16
0.86,0.0,0.0,0.0,13
0.87,0.0,0.0,0.0,13
0.88,0.0,0.0,0.0,10
0.89,0.0,0.0,0.0,10
0.9,0.0,0.0,0.0,10
0.91,0.0,0.0,0.0,7
0.92,0.0,0.0,0.0,6
0.93,0.0,0.0,0.0,5
0.94,0.0,0.0,0.0,3
0.95,0.0,0.0,0.0,1
0.96,0.0,0.0,0.0,0
0.97,0.0,0.0,0.0,0
0.98,0.0,0.0,0.0,0
0.99,0.0,0.0,0.0,0
